analyser_id,collector_id,item_type,collected_sec,collected_nsec,deposited_sec,deposited_nsec,analysis_begin_sec,analysis_begin_nsec,analysis_end_sec,analysis_end_nsec
0,1,4,1398,660804281,1398,660806981,1398,662123381,1400,322530587
1,1,0,1398,660854081,1398,660855781,1398,662153281,1400,622444406
0,2,3,1398,660869881,1398,660871281,1400,322984387,1401,373456454
1,3,3,1398,660878381,1398,660879781,1400,622693006,1402,53103131
0,1,1,1398,660970181,1398,660971281,1401,373789554,1402,754017584
0,0,1,1403,661044367,1403,661045009,1403,754201815,1405,724412491
1,3,3,1403,661571817,1403,661572184,1404,53884093,1405,934307721
1,3,4,1403,661991192,1403,661991467,1405,934562371,1407,314783518
0,1,0,1403,661771284,1403,661771559,1405,724478766,1407,704814760
1,1,1,1403,662091292,1403,662091567,1407,314857493,1409,85004740
0,0,0,1408,661240254,1408,661241263,1408,705156015,1410,625385072
1,0,4,1408,661679888,1408,661680163,1409,85064323,1410,875230563
0,2,1,1408,661861479,1408,661861754,1410,625627072,1411,826070165
1,0,4,1408,662128871,1408,662129238,1410,875305454,1412,355606441
0,1,4,1408,662174521,1408,662174796,1411,826289065,1413,326569628
0,0,2,1413,661374908,1413,661375549,1414,327068825,1416,77393337
1,1,3,1413,661760824,1413,661761283,1414,356887169,1416,347138746
0,3,3,1413,662144724,1413,662145091,1416,77527996,1417,407962406
1,2,3,1413,662207608,1413,662207791,1416,347202179,1417,817414974
0,1,0,1413,662270583,1413,662270949,1417,408317064,1418,658619036
1,4,1,1418,661451261,1418,661452911,1418,817817096,1420,388049963
0,2,0,1418,661908586,1418,661909686,1419,659088533,1420,809245398
1,1,0,1418,662268286,1418,662269203,1420,388114038,1421,918251994
0,0,1,1418,662456569,1418,662457761,1420,809320107,1422,349619314
1,4,1,1418,662645586,1418,662646686,1421,918307269,1423,178512175
0,3,3,1423,662033064,1423,662033431,1424,350332808,1425,590504513
1,2,1,1423,661641556,1423,661642198,1424,178704289,1425,819137052
0,0,2,1423,662405689,1423,662406056,1425,590570788,1427,260656161
1,1,3,1423,662646131,1423,662646589,1425,819395094,1427,400118112
0,1,2,1423,663154606,1423,663154973,1427,260690445,1428,390774692
1,2,3,1428,662095301,1428,662095484,1429,400678157,1430,640858111
0,2,3,1428,661768143,1428,661768876,1429,390872114,1431,111136191
1,2,2,1428,662522834,1428,662523201,1430,640932453,1432,391147515
0,3,1,1428,662743934,1428,662744301,1431,111285700,1432,881513430
1,0,4,1428,663217393,1428,663217668,1432,391408673,1433,721675700
1,1,1,1433,661990796,1433,661992721,1433,721753250,1434,842017247
0,3,0,1433,662266529,1433,662268179,1433,881962485,1435,272146516
0,0,1,1433,662964663,1433,662965946,1435,272220124,1436,362589419
1,1,1,1433,662949171,1433,662950271,1434,842256130,1436,712498983
0,3,1,1433,663367446,1433,663368455,1436,362884219,1438,133249266
1,0,0,1438,662232333,1438,662233158,1438,712862494,1440,353193966
0,0,3,1438,662367358,1438,662367816,1439,133715555,1440,814036796
1,0,0,1438,663174941,1438,663175400,1440,353362633,1441,563678044
0,3,3,1438,663354791,1438,663355250,1440,814158162,1442,314482725
1,0,4,1438,663552608,1438,663552975,1441,563884385,1442,714425426
1,1,0,1443,662401086,1443,662402095,1443,714782540,1445,85072061
0,0,0,1443,662558845,1443,662559486,1444,315336561,1446,235739234
1,0,4,1443,663281086,1443,663281728,1445,85135952,1446,885361326
1,0,2,1443,663656278,1443,663656920,1446,885580134,1447,925908526
0,2,4,1443,663483303,1443,663484128,1446,235908451,1447,946273827
1,0,3,1448,662757473,1448,662759673,1448,926300390,1449,966756557
0,3,3,1448,662847373,1448,662849073,1448,946642291,1450,886822549
1,1,0,1448,663519673,1448,663521073,1449,966988557,1451,157233641
0,0,1,1448,663775773,1448,663777273,1450,886899091,1452,117179869
1,3,0,1448,663890673,1448,663891873,1451,157309541,1452,287582530
0,0,3,1453,663015102,1453,663015927,1454,118238397,1455,228670594
1,2,0,1453,663196877,1453,663197243,1454,288290800,1456,168703887
0,4,3,1453,663810677,1453,663810952,1455,228939544,1456,609294982
0,1,0,1453,664302193,1453,664302652,1456,609595740,1457,719898136
1,2,2,1453,663982185,1453,663982368,1456,168963212,1457,959374110
0,3,4,1458,663277359,1458,663279284,1458,720474521,1459,890788338
1,0,3,1458,663323376,1458,663325026,1458,959909520,1460,120429394
0,4,0,1458,663979801,1458,663980993,1459,891047755,1460,901239786
1,2,1,1458,664240318,1458,664241509,1460,120510611,1462,50814568
0,1,4,1458,664528059,1458,664529251,1460,901309544,1462,841442368
0,3,2,1463,663639346,1463,663641271,1463,841690033,1465,181958993
1,0,2,1463,663821121,1463,663822679,1464,51505788,1465,761888472
0,2,1,1463,664351596,1463,664353154,1465,182165152,1466,502363236
1,4,4,1463,664523838,1463,664525121,1465,762147155,1466,972579991
0,4,2,1463,664847605,1463,664848796,1466,502454445,1468,312606402
1,4,4,1468,663843116,1468,663843758,1468,973302653,1470,733507274
0,1,2,1468,664027275,1468,664027550,1469,312951049,1470,823372329
1,1,2,1468,664547758,1468,664547941,1470,733563557,1471,873861397
0,2,4,1468,664687550,1468,664687733,1470,823648429,1472,453996667
1,4,3,1468,665047066,1468,665047341,1471,874129338,1472,874314577
1,4,4,1473,663963928,1473,663966128,1473,874560316,1475,164792016
0,0,1,1473,664332886,1473,664334536,1474,454520137,1476,124991794
1,0,4,1473,664707895,1473,664709270,1475,164872316,1477,85123280
0,1,4,1473,664865011,1473,664866386,1476,125258085,1477,205443763
1,3,3,1473,665207020,1473,665208303,1477,85288464,1478,455597326
0,4,3,1478,664282190,1478,664284206,1479,205798658,1481,166029950
1,2,4,1478,664582948,1478,664584231,1479,455963240,1481,246287697
1,0,1,1478,665216365,1478,665218106,1481,246406497,1483,66689299
0,2,4,1478,664961256,1478,664962540,1481,166108966,1483,136355420
1,4,4,1478,665492465,1478,665493656,1483,66902424,1484,87527773
1,4,0,1483,664551346,1483,664553546,1484,88281914,1485,178637001
0,1,2,1483,664850454,1483,664851737,1484,136738109,1486,67119158
1,2,2,1483,665265246,1483,665266529,1485,178936017,1486,739130742
0,4,1,1483,665449496,1483,665451237,1486,67381508,1487,197699138
1,3,0,1483,665703229,1483,665704237,1486,739220392,1488,109345555
0,1,2,1488,665010591,1488,665011049,1489,198234341,1490,508382917
1,0,4,1488,664763182,1488,664764282,1489,109480744,1490,779577668
0,0,1,1488,665450224,1488,665450499,1490,508451759,1492,49028899
1,3,2,1488,665615316,1488,665615774,1490,779647151,1492,469768109
0,1,1,1488,665869232,1488,665869507,1492,49490166,1493,279586236
0,2,2,1493,664883719,1493,664884452,1494,279743150,1495,409843164
1,0,4,1493,665130577,1493,665130852,1494,469991187,1496,160143312
1,0,3,1493,665716236,1493,665716511,1496,160198037,1497,270305641
0,3,4,1493,665497336,1493,665497702,1495,409921539,1497,350019347
1,1,1,1493,665962452,1493,665962819,1497,270394925,1499,170544488
1,4,2,1498,664988856,1498,664989589,1499,170649171,1500,570762444
0,2,2,1498,665227006,1498,665227281,1499,350519441,1500,880727431
1,4,1,1498,665568647,1498,665568831,1500,570849253,1501,971024767
0,0,0,1498,665823847,1498,665824031,1500,880829548,1502,421013621
1,3,0,1498,666021939,1498,666022214,1501,971091592,1503,131248008
1,2,0,1503,665176767,1503,665178692,1504,131429031,1505,201622582
0,0,0,1503,665502001,1503,665503651,1504,421892299,1505,912336661
1,2,0,1503,665740334,1503,665741251,1505,201698849,1506,691783786
0,2,0,1503,666047876,1503,666048792,1505,912641453,1507,562836625
1,4,0,1503,666226259,1503,666227542,1506,691851528,1507,921968682
1,4,1,1508,665316004,1508,665316646,1508,922136229,1510,442393985
0,4,1,1508,665702746,1508,665703113,1509,563101045,1511,173281240
1,2,2,1508,665910371,1508,665910646,1510,442494726,1511,462716558
1,2,3,1508,666415271,1508,666415454,1511,462833250,1512,543020852
0,0,3,1508,666308021,1508,666308296,1511,173429923,1512,653646209
1,4,1,1513,665529308,1513,665531416,1514,543489801,1515,583871151
0,0,3,1513,665932549,1513,665934474,1514,654302250,1515,884548654
1,1,1,1513,666065833,1513,666067299,1515,584105635,1517,254295142
